mensaje_limpio,incidente,area,coincidencias
Por radios informan urgencia en piso 1.,emergencia medica,sso,1
Por radios informan anuncio en planta baja.,publicidad,mercadeo,1
Hubo stand hace poco en fuera de Pycca.,montaje de evento,mercadeo,1
Parece que hubo perdido afuera de McDonald's.,objeto perdido,seguridad,2
Guardias revisan caso de desmontar fuera de Valentina.,retiro material publicitario,mercadeo,1
Notifican desde zona de parqueaderos que ocurrió merodeando.,persona sospechosa,seguridad,1
"Alguien avisó de obstruyendo en junto a Tía, estaba como que.",vehiculo mal estacionado,seguridad,1
Se genera alerta por inundacion en el sector de Coral Hipermercados.,fuga de agua,mantenimiento,1
Parece que hubo mal parqueado afuera de Coral Hipermercados.,vehiculo mal estacionado,seguridad,1
"Reportan estacionado en piso 1, estaba pasando entre justito.",vehiculo mal estacionado,seguridad,1
un man comentó que vio escalera por zona de carga.,accidente en escalera,sso,1
Un visitante dice que encontró vigilado cerca de Sweet & Coffee.,persona sospechosa,seguridad,1
Parece que hubo robo afuera de McDonald's.,robo,seguridad,1
Un guardia indica que hubo tropiezo escalera en patio de comidas.,accidente en escalera,sso,2
"Reportan no responde en frente a Mega Kywi, estaba pasando entre durísimo.",inconsciencia,sso,1
Guardias revisan caso de amenazas fuera de Isla de helados.,robo,seguridad,2
Parece que hubo ruido afuera de Adidas Store.,ruido excesivo,administracion,1
Notifican desde pasillo central que ocurrió estacionado.,vehiculo mal estacionado,seguridad,1
Guardias revisan caso de foco fuera de Tía.,iluminacion danada,mantenimiento,1
Por radios informan cable en pasillo central.,cableado suelto,mantenimiento,1
Por radios informan hurto en piso 1.,robo,seguridad,1
Un cliente molesto dice que hubo cable cerca de Doña Menestra.,cableado suelto,mantenimiento,1
Guardias revisan caso de resbale fuera de Marathon Sports.,caida,sso,1
Visitantes informan hurtaron cerca de zona coworking.,robo,seguridad,1
Personal de limpieza vio mal parqueado en patio de comidas.,vehiculo mal estacionado,seguridad,1
"Reportan expuesto en zona coworking, estaba pasando entre un guardia.",cableado suelto,mantenimiento,1
