mensaje_limpio,area
Wenos dias! el punto de info ya esta abierto.,RECEPCION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita una silla de ruedas. el coordinador de operaciones brindando asistencia.,RECEPCION
ALERTA DE RIESGO: Se detecta material inflamable mal almacenado en Todo Hogar. el técnico residente y ce despeja la ruta de evacuación.,SSO
En la camara 12 se ve una pers desorientada. q un guardia se aserque a ayudar.,SEGURIDAD
Un cliente dice q el baño de mujeres del 2do piso esta susio. pasando el dato a mantenimiento.,MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Sweet Coffee fue advertido por derrame de líquido resbaloso. Se corrije la postura.,SEGURIDAD
Xfa ablen claro en la radio. usen los codigos.,ADMINISTRACION
Chuta se prendio la alarma de un local. creo q es falsa alarma pero confirmen xfa.,SEGURIDAD
"Sip, ya esta areglada la puerta automatica de la entrada 2. funsionando ok.",MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una laptop en su maletín en Mi Juguetería. Se custodia en recepción bajo el código 882.,RECEPCION
Un cliente dice q el baño de mujeres del 2do piso esta susio. pasando el dato a mantenimiento.,MANTENIMIENTO
Cerrando y asegurando todos los accesos del mall. Buenas noches.,ADMINISTRACION
El fotógrafo anda por ahi? necesito unas tomas del público para TikTok.,MERCADEO
CIERRE DE CASO: La novedad sobre conato de riña a sido controlada. la unidad motorizada Alpha1 reporta normalidad en la zona. Estado final: escalada a gerencia.,ADMINISTRACION
Encontramos una mochila en la pasillo principal. la llevamos a recepcion.,ADMINISTRACION
El el aire acondicionado nesesita un repuesto q no ay. ya se pidio pero se demora.,MANTENIMIENTO
ALERTA DE RIESGO: Se detecta activación de detector de humo en Payless. el prevencionista y se activa el protocolo de emergencias.,SSO
Recibida alerta de panico desde la joyeria. unidades en camino.,ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita la ubicación del baño familiar. el coordinador de operaciones brindando asistencia.,MANTENIMIENTO
"Ay unos estudiantes asiendo encuestas, tienen permiso??",ADMINISTRACION
MAÑANA 10AM SIMULACRO DE INSENDIO. no se asusten.,SSO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de luz de emergencia en el sector de GMO. Novedades serán reportadas.,ADMINISTRACION
Fin del dia. se guardan las cosas perdidas y se cierra el punto. asta mañana!,RECEPCION
Inicio de ronda en el perimetro. sin nobedad.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por los horarios por el feriado. Se confirma la información para estandarizar respuesta.,RECEPCION
El Personal de limpieza de linpiesa ta con la makina pulidora. pongan el letrero.,ADMINISTRACION
